lower,upper,single,mfj,mfs,hoh
0,51,0,0,0,0
51,151,1,1,1,1
151,251,2,2,2,2
251,351,3,3,3,3
351,451,4,4,4,4
451,551,5,5,5,5
551,651,6,6,6,6
651,751,7,7,7,7
751,851,8,8,8,8
851,951,9,9,9,9
951,1051,10,10,10,10
1051,1151,11,11,11,11
1151,1251,12,12,12,12
1251,1351,13,13,13,13
1351,1451,14,14,14,14
1451,1551,15,15,15,15
1551,1651,16,16,16,16
1651,1751,17,17,17,17
1751,1851,18,18,18,18
1851,1951,19,19,19,19
1951,2051,20,20,20,20
2051,2151,21,21,21,21
2151,2251,22,22,22,22
2251,2351,23,23,23,23
2351,2451,24,24,24,24
2451,2551,25,25,25,25
2551,2651,26,26,26,26
2651,2751,27,27,27,27
2751,2851,28,28,28,28
2851,2951,29,29,29,29
2951,3051,30,30,30,30
3051,3151,31,31,31,31
3151,3251,32,32,32,32
3251,3351,33,33,33,33
3351,3451,34,34,34,34
3451,3551,35,35,35,35
3551,3651,36,36,36,36
3651,3751,37,37,37,37
3751,3851,38,38,38,38
3851,3951,39,39,39,39
3951,4051,40,40,40,40
4051,4151,41,41,41,41
4151,4251,42,42,42,42
4251,4351,43,43,43,43
4351,4451,44,44,44,44
4451,4551,45,45,45,45
4551,4651,46,46,46,46
4651,4751,47,47,47,47
4751,4851,48,48,48,48
4851,4951,49,49,49,49
4951,5051,50,50,50,50
5051,5151,51,51,51,51
5151,5251,52,52,52,52
5251,5351,53,53,53,53
5351,5451,54,54,54,54
5451,5551,55,55,55,55
5551,5651,56,56,56,56
5651,5751,57,57,57,57
5751,5851,58,58,58,58
5851,5951,59,59,59,59
5951,6051,60,60,60,60
6051,6151,61,61,61,61
6151,6251,62,62,62,62
6251,6351,63,63,63,63
6351,6451,64,64,64,64
6451,6551,65,65,65,65
6551,6651,66,66,66,66
6651,6751,67,67,67,67
6751,6851,68,68,68,68
6851,6951,69,69,69,69
6951,7051,70,70,70,70
7051,7151,71,71,71,71
7151,7251,72,72,72,72
7251,7351,73,73,73,73
7351,7451,74,74,74,74
7451,7551,75,75,75,75
7551,7651,76,76,76,76
7651,7751,77,77,77,77
7751,7851,78,78,78,78
7851,7951,79,79,79,79
7951,8051,80,80,80,80
8051,8151,81,81,81,81
8151,8251,82,82,82,82
8251,8351,83,83,83,83
8351,8451,84,84,84,84
8451,8551,85,85,85,85
8551,8651,86,86,86,86
8651,8751,87,87,87,87
8751,8851,88,88,88,88
8851,8951,89,89,89,89
8951,9051,90,90,90,90
9051,9151,91,91,91,91
9151,9251,92,92,92,92
9251,9351,93,93,93,93
9351,9451,94,94,94,94
9451,9551,95,95,95,95
9551,9651,96,96,96,96
9651,9751,97,97,97,97
9751,9851,98,98,98,98
9851,9951,99,99,99,99
9951,10051,100,100,100,100
10051,10151,101,101,101,101
10151,10251,103,102,103,102
10251,10351,105,103,105,103
10351,10451,107,104,107,104
10451,10551,109,105,109,105
10551,10651,111,106,111,106
10651,10751,113,107,113,107
10751,10851,115,108,115,108
10851,10951,117,109,117,109
